id,phrase,level,main_category,sub_category,cluster
1,after-sales service,C2,Business_Finance_Economy,Business_Management,0
2,ancient monument,C2,Education,Academic_Study,0
3,arrive at a total of,C2,Business_Finance_Economy,Economy_Markets,0
4,birth rate,B2,Business_Finance_Economy,Economy_Markets,0
5,become famous,C2,Psychology_Emotions,Motivation,0
6,come to a total of,C2,Business_Finance_Economy,Economy_Markets,0
7,big meal,B1,Health_Medicine,Nutrition_Diet,0
8,considerable amount,C2,Business_Finance_Economy,Economy_Markets,0
9,bitterly cold,C2,Psychology_Emotions,Feelings_Emotions,0
10,considerable number,C2,Business_Finance_Economy,Economy_Markets,0
11,bitterly disappointed,C2,Psychology_Emotions,Feelings_Emotions,0
12,constant interruptions,C2,Communication_Media_Arts,Speaking_Expressions,0
13,continual complaining,C2,Communication_Media_Arts,Speaking_Expressions,0
14,cause crime,C1,Society_Law_Politics,Law_Crime,0
15,decline in the number of,C2,Business_Finance_Economy,Economy_Markets,0
16,dramatic fall,C2,Business_Finance_Economy,Economy_Markets,0
17,fast food,B2,Health_Medicine,Nutrition_Diet,0
18,dramatic rise,C2,Business_Finance_Economy,Economy_Markets,0
19,get a job,B2,Business_Finance_Economy,Jobs_Careers,0
20,drop in the number of,C2,Business_Finance_Economy,Economy_Markets,0
21,heavy cold,B2,Health_Medicine,Healthcare_Hospital,0
22,enormous amount,C2,Business_Finance_Economy,Economy_Markets,0
23,heavy snow,B2,Science_Nature,Natural_Phenomena,0
24,enormous number,C2,Business_Finance_Economy,Economy_Markets,0
25,keep to the rules,C2,Society_Law_Politics,Law_Crime,0
26,even number,C1,Business_Finance_Economy,Economy_Markets,0
27,leave university,C2,Education,University_School,0
28,fall sharply,C1,Business_Finance_Economy,Economy_Markets,0
29,live music,B2,Communication_Media_Arts,Arts_Creativity,0
30,fall steeply,C1,Business_Finance_Economy,Economy_Markets,0
31,make a decision,C2,Daily_Life,General_Interactions,0
32,increase gradually,C2,Business_Finance_Economy,Economy_Markets,0
33,make a mistake,C2,Daily_Life,General_Interactions,0
34,increase in the number of,C2,Business_Finance_Economy,Economy_Markets,0
35,make an effort,C2,Daily_Life,General_Interactions,0
36,increase steadily,C2,Business_Finance_Economy,Economy_Markets,0
37,make a recording,C2,Technology_Digital,Software_Internet,0
38,keep asking,C1,Daily_Life,Routine_Activities,0
39,keep hitting,C1,Daily_Life,Routine_Activities,0
40,play the guitar,C2,Communication_Media_Arts,Arts_Creativity,0
41,keep interrupting,C2,Daily_Life,Routine_Activities,0
42,powerful engine,C2,Technology_Digital,Devices_Hardware,0
43,minute amount,C2,Business_Finance_Economy,Economy_Markets,0
44,minute number,C2,Business_Finance_Economy,Economy_Markets,0
45,quick meal,B2,Health_Medicine,Nutrition_Diet,0
46,odd number,B2,Business_Finance_Economy,Economy_Markets,0
47,stick to the rules,C2,Society_Law_Politics,Law_Crime,0
48,rare bird,B2,Daily_Life,General_Interactions,0
49,strictly forbidden,C2,Society_Law_Politics,Law_Crime,0
50,rare coin,B2,Daily_Life,General_Interactions,0
51,substantial meal,C2,Health_Medicine,Nutrition_Diet,0
52,rare disease,C1,Health_Medicine,Illness_Diseases,0
53,take a photo,C1,Daily_Life,General_Interactions,0
54,rare species,C1,Science_Nature,Biology_Life_Sciences,0
55,take up a profession,C2,Business_Finance_Economy,Jobs_Careers,0
56,rate falls,B2,Business_Finance_Economy,Economy_Markets,0
57,valid passport,C2,Education,Exams_Assessments,3
58,rate rises,B2,Business_Finance_Economy,Economy_Markets,0
59,watch tv,B1,Communication_Media_Arts,Speaking_Expressions,0
60,remain constant,C2,Technology_Digital,Artificial_Intelligence,0
61,write a song,C1,Communication_Media_Arts,Writing_Language,0
62,remain stable,C2,Technology_Digital,Artificial_Intelligence,0
63,desperately jealous,C2,Business_Finance_Economy,Economy_Markets,0
64,rise in the number of,C2,Business_Finance_Economy,Economy_Markets,0
65,desperately worried,C2,Business_Finance_Economy,Economy_Markets,0
66,rise sharply,C1,Business_Finance_Economy,Economy_Markets,0
67,do a course,C1,Education,University_School,0
68,rise steeply,C1,Business_Finance_Economy,Economy_Markets,0
69,do some shopping,C2,Daily_Life,Shopping_Everyday,0
70,significant amount,C2,Business_Finance_Economy,Economy_Markets,0
71,do some work,C1,Business_Finance_Economy,Jobs_Careers,0
72,significant number,C2,Business_Finance_Economy,Economy_Markets,0
73,do your duty,C1,Daily_Life,General_Interactions,0
74,substantial amount,C2,Business_Finance_Economy,Economy_Markets,0
75,ease the pain,C2,Health_Medicine,Illness_Diseases,0
76,substantial number,C2,Business_Finance_Economy,Economy_Markets,0
77,enrol on a course,C2,Education,University_School,0
78,surprising amount,C2,Business_Finance_Economy,Economy_Markets,0
79,extremely easy,C2,Daily_Life,General_Interactions,0
80,surprising number,C2,Business_Finance_Economy,Economy_Markets,0
81,find a way,B2,Daily_Life,General_Interactions,0
82,tiny amount,C1,Business_Finance_Economy,Economy_Markets,0
83,find your way,C2,Travel_Transportation,Navigation_Directions,0
84,tiny number,C1,Business_Finance_Economy,Economy_Markets,0
85,get divorced,C1,Daily_Life,General_Interactions,0
86,unit of currency,C2,Business_Finance_Economy,Finance_Banking,0
87,get in someone's way,C2,Daily_Life,General_Interactions,0
88,unit of electricity,C2,Daily_Life,General_Interactions,0
89,give a lecture,C2,Education,University_School,0
90,unit of length,C2,Daily_Life,General_Interactions,0
91,give someone a call,C2,Communication_Media_Arts,Speaking_Expressions,0
92,unit of measurement,C2,Science_Nature,Research_Methods,0
93,give someone a lift,C2,Daily_Life,General_Interactions,0
94,widespread damage,C2,Communication_Media_Arts,Speaking_Expressions,0
95,give someone a ring,C2,Communication_Media_Arts,Speaking_Expressions,0
96,widespread interest,C2,Communication_Media_Arts,Speaking_Expressions,0
97,give way to,C1,Daily_Life,General_Interactions,0
98,widespread poverty,C2,Society_Law_Politics,Social_Issues,0
99,have access to,C2,Daily_Life,General_Interactions,0
100,widespread support,C2,Communication_Media_Arts,Speaking_Expressions,0
101,have a chat,C1,Communication_Media_Arts,Speaking_Expressions,0
102,at breakneck speed,C2,Daily_Life,Routine_Activities,0
103,have a look,C1,Daily_Life,General_Interactions,0
104,brisk business,C2,Business_Finance_Economy,Business_Management,0
105,have a party,C1,Communication_Media_Arts,Arts_Creativity,0
106,brisk efficiency,C2,Business_Finance_Economy,Entrepreneurship,0
107,have a rest,C1,Daily_Life,General_Interactions,0
108,brisk pace,B2,Business_Finance_Economy,Entrepreneurship,0
109,lead a discussion,C2,Education,Classroom_Interaction,0
110,brisk walk,B2,Business_Finance_Economy,Entrepreneurship,0
111,lead a life,C1,Science_Nature,Biology_Life_Sciences,0
112,come to a standstill,C2,Health_Medicine,Healthcare_Hospital,0
113,lead an enquiry,C2,Daily_Life,General_Interactions,0
114,fast car,B1,Travel_Transportation,Road_Travel,0
115,lead an expedition,C2,Daily_Life,General_Interactions,0
116,fast computer,C2,Technology_Digital,Devices_Hardware,0
117,learn the hard way,C2,Education,Learning_Skills,0
118,fast lane,B2,Daily_Life,General_Interactions,0
119,fast pace,B2,Daily_Life,Routine_Activities,0
120,make a good impression,C2,Communication_Media_Arts,Media_Journalism,0
121,fast train,B2,Technology_Digital,Artificial_Intelligence,0
122,gather speed,C1,Daily_Life,Routine_Activities,0
123,make demands on,C2,Business_Finance_Economy,Economy_Markets,0
124,go astray,B2,Daily_Life,General_Interactions,0
125,make progress,C2,Daily_Life,General_Interactions,0
126,hasty conclusion,C2,Daily_Life,General_Interactions,0
127,make your way,C2,Daily_Life,General_Interactions,0
128,hasty decision,C2,Daily_Life,General_Interactions,0
129,meet requirements,C2,Daily_Life,General_Interactions,0
130,hasty exit,B2,Daily_Life,General_Interactions,0
131,piece of advice,C2,Daily_Life,General_Interactions,0
132,hasty words,C1,Daily_Life,General_Interactions,0
133,really enjoy,C1,Psychology_Emotions,Feelings_Emotions,0
134,in slow motion,C2,Daily_Life,General_Interactions,0
135,run a bath,B2,Daily_Life,Routine_Activities,0
136,leisurely breakfast,C2,Daily_Life,Routine_Activities,0
137,sharp bend,B2,Daily_Life,General_Interactions,0
138,lose your balance,C2,Psychology_Emotions,Stress_Mental_State,0
139,sharp contrast,C2,Daily_Life,General_Interactions,0
140,lose your footing,C2,Daily_Life,General_Interactions,0
141,sharp difference,C2,Daily_Life,General_Interactions,0
142,make a detour,C2,Travel_Transportation,Navigation_Directions,0
143,sharp distinction,C2,Daily_Life,General_Interactions,0
144,painfully slow,C2,Health_Medicine,Illness_Diseases,0
145,sharp drop,B2,Daily_Life,General_Interactions,0
146,pick up speed,C2,Daily_Life,Routine_Activities,0
147,sharp increase,C2,Daily_Life,General_Interactions,0
148,prompt payment,C2,Business_Finance_Economy,Finance_Banking,0
149,sharp pain,B2,Health_Medicine,Illness_Diseases,0
150,prompt reply,C1,Communication_Media_Arts,Speaking_Expressions,0
151,sharp rise,B2,Daily_Life,General_Interactions,0
152,prompt response,C2,Psychology_Emotions,Behavior,0
153,sharp turn,B2,Daily_Life,General_Interactions,0
154,quick answer,C1,Education,Classroom_Interaction,0
155,spend your time,C2,Daily_Life,Time_Management,0
156,quick decision,C2,Daily_Life,General_Interactions,0
157,study for a degree,C2,Education,Academic_Study,0
158,quick glance,C1,Daily_Life,General_Interactions,0
159,take a look,C1,Daily_Life,General_Interactions,0
160,quick look,B2,Daily_Life,General_Interactions,0
161,take an exam,C1,Education,Exams_Assessments,0
162,quick lunch,C1,Health_Medicine,Nutrition_Diet,0
163,take care of,C1,Travel_Transportation,Road_Travel,0
164,quick shower,C1,Daily_Life,Routine_Activities,0
165,thoroughly enjoy,C2,Psychology_Emotions,Feelings_Emotions,0
166,rapid change,C1,Daily_Life,General_Interactions,0
167,try every possible way,C2,Daily_Life,General_Interactions,0
168,rapid decline,C2,Business_Finance_Economy,Economy_Markets,0
169,university entry,C2,Education,University_School,0
170,rapid growth,C1,Daily_Life,General_Interactions,0
171,wise choice,C1,Daily_Life,General_Interactions,0
172,rapid increase,C2,Business_Finance_Economy,Economy_Markets,0
173,accept an offer,C2,Daily_Life,General_Interactions,0
174,rapid movement,C2,Daily_Life,General_Interactions,0
175,aches and pains,C2,Health_Medicine,Illness_Diseases,0
176,rapid progress,C2,Daily_Life,General_Interactions,0
177,alleviate pain,C2,Health_Medicine,Illness_Diseases,0
178,slow-moving traffic,C2,Travel_Transportation,Road_Travel,0
179,cause pain,B2,Health_Medicine,Illness_Diseases,0
180,slow to a crawl,C2,Daily_Life,General_Interactions,0
181,complain of pain,C2,Health_Medicine,Illness_Diseases,0
182,speedy access,C2,Daily_Life,General_Interactions,0
183,constant pain,C2,Health_Medicine,Illness_Diseases,0
184,speedy conclusion,C2,Daily_Life,General_Interactions,0
185,ease pain,B2,Health_Medicine,Illness_Diseases,0
186,speedy recovery,C2,Health_Medicine,Healthcare_Hospital,0
187,experience pain,C2,Health_Medicine,Illness_Diseases,0
188,speedy response,C2,Psychology_Emotions,Behavior,0
189,feel pain,B2,Health_Medicine,Illness_Diseases,0
190,steer the conversation,C2,Communication_Media_Arts,Speaking_Expressions,0
191,inflict pain,C1,Health_Medicine,Illness_Diseases,0
192,swift action,C1,Psychology_Emotions,Behavior,0
193,lessen pain,C1,Health_Medicine,Illness_Diseases,0
194,swift reaction,C2,Science_Nature,Physics_Chemistry,0
195,pain subsides,C2,Health_Medicine,Illness_Diseases,0
196,swift recovery,C2,Health_Medicine,Healthcare_Hospital,0
197,racked with pain,C2,Health_Medicine,Illness_Diseases,0
198,swift response,C2,Psychology_Emotions,Behavior,0
199,relieve pain,C1,Health_Medicine,Illness_Diseases,0
200,take a detour,C2,Travel_Transportation,Navigation_Directions,0
201,take a shortcut,C2,Travel_Transportation,Navigation_Directions,0
202,soothe pain,C1,Health_Medicine,Illness_Diseases,0
203,take steps,B2,Daily_Life,General_Interactions,0
204,suffer from pain,C2,Health_Medicine,Illness_Diseases,0
205,top speed,B2,Daily_Life,Routine_Activities,0
206,take someone up on an offer,C2,Daily_Life,General_Interactions,0
207,turn something upside down,C2,Daily_Life,General_Interactions,0
208,acutely embarrassing,C2,Psychology_Emotions,Feelings_Emotions,0
209,unhurried manner,C2,Psychology_Emotions,Behavior,0
210,blissfully happy,C2,Psychology_Emotions,Feelings_Emotions,0
211,adopt an approach,C2,Technology_Digital,Software_Internet,0
212,blissfully unaware,C2,Psychology_Emotions,Feelings_Emotions,0
213,become available,C2,Technology_Digital,Artificial_Intelligence,0
214,become successful,C2,Psychology_Emotions,Motivation,0
215,break a habit,C2,Psychology_Emotions,Behavior,0
216,burst into song,C2,Psychology_Emotions,Feelings_Emotions,0
217,change doctors,C2,Health_Medicine,Healthcare_Hospital,0
218,burst into tears,C2,Psychology_Emotions,Feelings_Emotions,0
219,change jobs,C1,Business_Finance_Economy,Jobs_Careers,0
220,company expands,C2,Business_Finance_Economy,Business_Management,0
221,change places,C2,Daily_Life,Routine_Activities,0
222,company grows,C2,Business_Finance_Economy,Business_Management,0
223,change schools,C2,Education,University_School,0
224,company merges,C2,Business_Finance_Economy,Business_Management,0
225,change seats,C1,Daily_Life,Routine_Activities,0
226,create opportunities,C2,Health_Medicine,Healthcare_Hospital,0
227,change the baby,C2,Daily_Life,General_Interactions,0
228,economy booms,C2,Business_Finance_Economy,Economy_Markets,0
229,change the beds,C2,Daily_Life,Routine_Activities,0
230,filled with horror,C2,Psychology_Emotions,Feelings_Emotions,0
231,change the subject,C2,Communication_Media_Arts,Speaking_Expressions,0
232,fully aware,C1,Society_Law_Politics,Law_Crime,0
233,change your clothes,C2,Daily_Life,Routine_Activities,0
234,ginger cat,B2,Daily_Life,General_Interactions,0
235,change your mind,C2,Health_Medicine,Mental_Health,0
236,happily married,C2,Technology_Digital,Software_Internet,0
237,convert to christianity,C2,Daily_Life,General_Interactions,0
238,exchange addresses,C2,Communication_Media_Arts,Speaking_Expressions,0
239,key issue,B2,Daily_Life,General_Interactions,0
240,exchange ideas,C2,Daily_Life,General_Interactions,0
241,major problem,C2,Daily_Life,General_Interactions,0
242,exchange money,C2,Business_Finance_Economy,Finance_Banking,0
243,have clothes altered,C2,Daily_Life,General_Interactions,0
244,pang of nostalgia,C2,Psychology_Emotions,Feelings_Emotions,0
245,improvement in performance,C2,Communication_Media_Arts,Speaking_Expressions,0
246,place gently,C1,Daily_Life,Routine_Activities,0
247,kick the habit,C2,Psychology_Emotions,Behavior,0
248,pose a problem,C2,Daily_Life,General_Interactions,0
249,make an adjustment,C2,Daily_Life,General_Interactions,0
250,prices rise,C1,Business_Finance_Economy,Economy_Markets,0
251,make a slight alteration,C2,Daily_Life,General_Interactions,0
252,pull steadily,C2,Daily_Life,Routine_Activities,0
253,make modifications,C2,Daily_Life,General_Interactions,0
254,roar with laughter,C2,Psychology_Emotions,Feelings_Emotions,0
255,move house,B2,Daily_Life,Home_Housing,0
256,sense of pride,C2,Psychology_Emotions,Feelings_Emotions,0
257,power to transform,C2,Daily_Life,General_Interactions,0
258,smile proudly,C2,Psychology_Emotions,Feelings_Emotions,0
259,price rises,C1,Business_Finance_Economy,Economy_Markets,0
260,surge of anger,C2,Psychology_Emotions,Feelings_Emotions,0
261,problem arises,C2,Daily_Life,General_Interactions,0
262,surge of emotion,C2,Health_Medicine,Mental_Health,0
263,profits rise,C1,Business_Finance_Economy,Finance_Banking,0
264,swell with pride,C2,Psychology_Emotions,Feelings_Emotions,0
265,raise a question,C2,Education,Classroom_Interaction,0
266,tread carefully,C2,Travel_Transportation,Road_Travel,0
267,raise taxes,C1,Technology_Digital,Artificial_Intelligence,0
268,well with pride,C2,Psychology_Emotions,Feelings_Emotions,0
269,raise your hand,C2,Technology_Digital,Artificial_Intelligence,0
270,revolutionise the way,C2,Science_Nature,Biology_Life_Sciences,0
271,alight from a bus,C2,Travel_Transportation,Public_Transport,0
272,standard of living rises,C2,Daily_Life,General_Interactions,0
273,axe jobs,B1,Business_Finance_Economy,Jobs_Careers,0
274,the sun rises,C2,Daily_Life,General_Interactions,0
275,badly need,B2,Daily_Life,General_Interactions,0
276,address someone politely,C2,Daily_Life,General_Interactions,0
277,battle against floods,C2,Science_Nature,Natural_Phenomena,0
278,apologise profusely,C2,Daily_Life,General_Interactions,0
279,bear the cost,C2,Business_Finance_Economy,Economy_Markets,0
280,ask someone a favour,C2,Daily_Life,General_Interactions,0
281,board an aircraft,C2,Technology_Digital,Artificial_Intelligence,0
282,brief chat,B2,Communication_Media_Arts,Speaking_Expressions,0
283,bored stiff,C1,Psychology_Emotions,Feelings_Emotions,0
284,challenge someone directly,C2,Daily_Life,General_Interactions,0
285,crack down,B2,Daily_Life,General_Interactions,0
286,cyclists dismount,C2,Travel_Transportation,Public_Transport,0
287,complain bitterly,C2,Technology_Digital,Artificial_Intelligence,0
288,dead keen,B2,Daily_Life,General_Interactions,0
289,crack a joke,C1,Daily_Life,General_Interactions,0
290,dispose of items,C2,Daily_Life,General_Interactions,0
291,crack a joke police,C2,Society_Law_Politics,Law_Crime,0
292,embark upon an explanation,C2,Daily_Life,General_Interactions,0
293,delicate subject,C2,Daily_Life,General_Interactions,0
294,extremely keen,C2,Daily_Life,General_Interactions,0
295,drop a hint,C1,Daily_Life,General_Interactions,0
296,falling profits,C2,Business_Finance_Economy,Finance_Banking,0
297,get into conversation,C2,Communication_Media_Arts,Speaking_Expressions,0
298,floods hit,B2,Science_Nature,Natural_Phenomena,0
299,get to the point,C2,Communication_Media_Arts,Writing_Language,0
300,get on a plane,C2,Travel_Transportation,Air_Travel,0
301,give someone instructions,C2,Daily_Life,General_Interactions,0
302,give someone your word,C2,Daily_Life,General_Interactions,0
303,have a word,C1,Communication_Media_Arts,Speaking_Expressions,0
304,have a think,C1,Daily_Life,General_Interactions,0
305,join in a conversation,C2,Communication_Media_Arts,Speaking_Expressions,0
306,job losses,B2,Business_Finance_Economy,Finance_Banking,0
307,lengthy discussion,C2,Education,Classroom_Interaction,0
308,launch into an explanation,C2,Daily_Life,General_Interactions,0
309,lull in the conversation,C2,Communication_Media_Arts,Speaking_Expressions,0
310,major companies,C2,Business_Finance_Economy,Economy_Markets,0
311,make an observation,C2,Science_Nature,Research_Methods,0
312,make redundant,C2,Business_Finance_Economy,Economy_Markets,0
313,make a speech,C2,Daily_Life,General_Interactions,0
314,missing teenager,C2,Communication_Media_Arts,Speaking_Expressions,0
315,make it clear,C2,Communication_Media_Arts,Writing_Language,0
316,outbreak hits,C2,Science_Nature,Natural_Phenomena,0
317,make polite conversation,C2,Communication_Media_Arts,Speaking_Expressions,0
318,police crack down,C2,Society_Law_Politics,Law_Crime,0
319,plead ignorance,C2,Daily_Life,General_Interactions,0
320,police quiz,C1,Society_Law_Politics,Law_Crime,0
321,quick word,B2,Communication_Media_Arts,Speaking_Expressions,0
322,pretty awful,C1,Daily_Life,General_Interactions,0
323,raise a subject,C2,Technology_Digital,Artificial_Intelligence,0
324,pretty dreadful,C2,Daily_Life,General_Interactions,0
325,speak a language,C2,Communication_Media_Arts,Speaking_Expressions,0
326,pretty dull,C1,Daily_Life,General_Interactions,0
327,speak off the record,C2,Communication_Media_Arts,Speaking_Expressions,0
328,prime suspect,C2,Daily_Life,General_Interactions,0
329,strike up a conversation,C2,Communication_Media_Arts,Speaking_Expressions,0
330,prosecute trespassers,C2,Education,Exams_Assessments,0
331,tell a joke,C1,Communication_Media_Arts,Speaking_Expressions,0
332,pump prices,C1,Business_Finance_Economy,Economy_Markets,0
333,tell a lie,B2,Communication_Media_Arts,Speaking_Expressions,0
334,raise capital,C2,Business_Finance_Economy,Finance_Banking,0
335,tell a story,C1,Communication_Media_Arts,Writing_Language,0
336,receptacle provided,C2,Daily_Life,General_Interactions,0
337,tell the truth,C2,Communication_Media_Arts,Speaking_Expressions,0
338,slash prices,C1,Business_Finance_Economy,Economy_Markets,0
339,tone of someone's voice,C2,Communication_Media_Arts,Speaking_Expressions,0
340,spending rockets,C2,Business_Finance_Economy,Economy_Markets,0
341,whisper softly,C2,Daily_Life,General_Interactions,0
342,start up a business,C2,Business_Finance_Economy,Business_Management,0
343,wish someone luck,C2,Daily_Life,General_Interactions,0
344,submit a tender,C2,Business_Finance_Economy,Economy_Markets,0
345,take responsibility,C2,Daily_Life,General_Interactions,0
346,different walks of life,C2,Science_Nature,Biology_Life_Sciences,0
347,unwanted items,C2,Daily_Life,General_Interactions,0
348,easy walk,B2,Daily_Life,Routine_Activities,0
349,absolutely absurd,C2,Daily_Life,General_Interactions,0
350,faltering steps,C2,Daily_Life,General_Interactions,0
351,absolutely alone,C2,Psychology_Emotions,Feelings_Emotions,0
352,gentle stroll,C2,Daily_Life,Routine_Activities,0
353,absolutely appalled,C2,Psychology_Emotions,Feelings_Emotions,0
354,gentle walk,C1,Daily_Life,Routine_Activities,0
355,absolutely convinced,C2,Daily_Life,General_Interactions,0
356,get off on the wrong foot,C2,Daily_Life,General_Interactions,0
357,absolutely devastated,C2,Psychology_Emotions,Feelings_Emotions,0
358,go for a run,C1,Daily_Life,Routine_Activities,0
359,absolutely exhausted,C2,Psychology_Emotions,Feelings_Emotions,0
360,go for a walk,C2,Daily_Life,Routine_Activities,0
361,absolutely impossible,C2,Daily_Life,General_Interactions,0
362,go on foot,B2,Daily_Life,General_Interactions,0
363,absolutely miserable,C2,Psychology_Emotions,Feelings_Emotions,0
364,go running,B2,Health_Medicine,Fitness_Exercise,0
365,absolutely ridiculous,C2,Daily_Life,General_Interactions,0
366,heavy steps,C1,Daily_Life,General_Interactions,0
367,absolutely stupid,C2,Daily_Life,General_Interactions,0
368,leisurely stroll,C2,Daily_Life,Routine_Activities,0
369,absolutely wrong,C2,Daily_Life,General_Interactions,0
370,light steps,C1,Daily_Life,General_Interactions,0
371,argue strongly,C2,Communication_Media_Arts,Speaking_Expressions,0
372,make great strides,C2,Health_Medicine,Healthcare_Hospital,0
373,pace up and down,C2,Daily_Life,General_Interactions,0
374,pick your way cautiously,C2,Daily_Life,General_Interactions,0
375,bitterly disappointing,C2,Psychology_Emotions,Feelings_Emotions,0
376,run into problems,C2,Daily_Life,General_Interactions,0
377,bitterly regret,C2,Daily_Life,General_Interactions,0
378,run up against opposition,C2,Technology_Digital,Artificial_Intelligence,0
379,bitterly resent,C2,Daily_Life,General_Interactions,0
380,rush headlong into,C2,Daily_Life,General_Interactions,0
381,care deeply,C1,Travel_Transportation,Road_Travel,0
382,stride angrily,C2,Daily_Life,General_Interactions,0
383,stride confidently,C2,Psychology_Emotions,Feelings_Emotions,0
384,cry bitterly,C1,Daily_Life,General_Interactions,0
385,stride purposefully,C2,Psychology_Emotions,Motivation,0
386,deeply affected,C2,Daily_Life,General_Interactions,0
387,take a stroll,C2,Daily_Life,Routine_Activities,0
388,deeply ashamed,C2,Daily_Life,General_Interactions,0
389,deeply committed,C2,Daily_Life,General_Interactions,0
390,walk an exam,C1,Education,Exams_Assessments,0
391,deeply concerned,C2,Daily_Life,General_Interactions,0
392,walk briskly,C1,Business_Finance_Economy,Entrepreneurship,0
393,deeply hurt,C1,Daily_Life,General_Interactions,0
394,walking encyclopaedia,C2,Health_Medicine,Fitness_Exercise,0
395,deeply moved,C1,Daily_Life,General_Interactions,0
396,walk swiftly,C1,Daily_Life,Routine_Activities,0
