sample_id,pca_1,pca_2,umap_1,umap_2
0,-0.0366641,-0.22621477,8.919184,10.5015335
1,0.17499791,-0.13215354,10.971778,12.323689
2,-0.0761672,-0.14285006,6.716759,9.714758
3,0.042062208,-0.05302533,12.278573,12.064128
4,-0.0070160553,0.030195292,9.326467,9.05172
5,-0.13938856,-0.050145656,6.54218,10.081106
6,-0.054025624,-0.08607565,10.493976,14.120359
7,0.12651275,0.00260045,8.014286,6.417692
8,0.05513858,-0.038658187,8.922819,15.413794
9,0.1474984,-0.003991671,8.06026,6.5102725
10,0.027164854,0.2935726,10.3493,7.921798
11,-0.051076997,0.10173568,7.4733577,9.796402
12,-0.041042127,0.2755753,10.9823265,7.6311855
13,0.06747036,0.12686765,12.31472,6.961165
14,-0.046186045,0.059633013,6.945527,6.439862
15,-0.066802636,0.16712461,6.3095803,12.328219
16,0.050348915,-0.1888795,10.44234,13.981006
17,-0.018888388,0.13639024,7.0673823,12.627295
18,-0.13796493,-0.081167355,9.036829,9.636346
19,-0.13168791,-0.10605079,7.403158,6.743432
20,-0.035706796,-0.018895682,8.8235655,15.456292
21,0.024371915,-0.018841967,7.8988895,6.411727
22,0.027129069,-0.088463664,8.63372,15.393347
23,0.060148083,-0.008434935,7.89838,6.525797
24,-0.22190951,0.11438292,12.122513,6.0254707
25,0.0045278855,-0.035460096,7.7981515,6.670601
26,-0.20925967,0.025425453,13.379565,11.845513
27,-0.1363546,0.1002886,6.2970934,12.3509
28,0.025924176,-0.14123696,7.5719767,11.450145
29,-0.16840358,0.09101492,6.8272743,12.667284
30,-0.16327608,0.10670388,8.601692,6.072227
31,-0.11111774,-0.057428103,6.9348125,6.8359857
32,-0.19709937,0.14877991,10.50753,7.3982067
33,-0.0014711581,-0.15598236,7.0178905,6.836015
34,-0.19206159,0.12929887,9.417663,9.524627
35,-0.052812338,-0.09293182,6.9302187,6.7555237
36,-0.019511204,-0.06178555,7.329665,11.424615
37,-0.06526953,0.017386172,6.6917377,8.594887
38,-0.2782467,0.060943488,6.134096,11.206153
39,-0.19955646,-0.01596626,7.4914465,11.512998
40,-0.22500305,0.11759029,7.1699085,9.877024
41,0.14993666,-0.03422406,8.365419,12.815775
42,-0.031007834,-0.09168215,7.54928,8.940834
43,-0.020310225,-0.14660095,7.559954,8.820448
44,-0.06680338,-0.11505529,10.536277,14.185675
45,0.07107976,-0.12403928,7.840321,6.6912293
46,-0.23813273,0.16102844,12.128702,6.0037293
47,0.14491409,-0.08393602,10.806309,12.947049
48,0.0774376,0.14067043,11.566474,6.619842
49,0.101431474,-0.1384923,8.897674,10.515796
50,-0.03284046,-0.0016473942,10.513486,14.181289
51,0.07818763,0.061524976,11.740365,10.330846
52,-0.10167828,-0.05897988,8.0222225,11.552526
53,0.19719383,-0.021910042,9.767002,7.781541
54,-0.081710875,-0.007740029,9.242322,9.629985
55,-0.14288336,-0.04848356,6.264779,12.364438
56,0.09223379,-0.037614055,10.793274,6.8833995
57,-0.0966939,-0.08804305,8.363671,9.831496
58,-0.11246268,-0.013320208,7.933179,10.763795
59,-0.078751005,0.086265594,9.916202,9.693193
60,-0.1155045,-0.023002986,7.3987474,11.268758
61,-0.086241126,0.074300066,10.715645,10.202895
62,-0.0018197075,0.19539255,10.032472,8.457053
63,-0.040037103,-0.08575429,7.1328554,6.904325
64,-0.055782363,0.18094397,10.749414,8.077134
65,-0.104676306,-0.0012396313,7.1258564,12.757726
66,-0.096408844,-0.16960557,13.402093,11.7980175
67,-0.15689293,-0.0038258098,7.1604404,12.815293
68,-0.2130683,-0.18912484,8.785783,11.206998
69,0.0013420843,0.005323123,8.002168,6.2249894
70,-0.18169555,-0.0746512,8.854908,9.625159
71,0.010164466,-0.03117699,7.9830365,6.238416
72,-0.1570308,0.07244511,11.464727,7.0549436
73,0.05982174,0.0029568598,8.039218,6.383414
74,-0.22703464,0.22544664,11.055318,8.612729
75,0.094301105,0.026834063,8.050282,6.384626
76,0.01829582,-0.19369683,13.454099,11.784158
77,0.029222503,0.072236836,7.961707,6.446237
78,0.022771448,0.060507733,8.586135,7.087188
79,0.05266366,0.037151087,7.8812594,6.5612397
80,-0.22544917,-0.07273408,6.4187665,9.66994
81,0.014818631,-0.053353455,7.881601,6.4768333
82,-0.22220038,-0.05721275,6.3018146,9.785764
83,0.024511456,-0.08447267,7.855188,6.581747
84,-0.1847682,0.07103692,11.623598,11.262973
85,0.08986291,-0.15159103,8.994108,11.0865
86,-0.33402377,0.06858651,6.3099,9.951208
87,0.1186474,-0.07909055,8.854686,11.798864
88,-0.037423525,0.0023867805,13.073052,12.04866
89,0.07435965,-0.10875225,8.862064,11.37867
90,-0.2892279,-0.050713867,5.223067,10.0244
91,0.10600458,-0.09727752,8.855685,11.271065
92,-0.24646331,0.01848958,6.016974,11.382607
93,0.090807006,0.15415266,11.309819,8.877432
94,-0.1546534,0.0312581,5.1857758,12.188508
95,0.14724515,0.03951211,9.044956,9.0131445
96,-0.20405571,0.008036155,6.284847,9.756286
97,0.11551444,0.0877855,10.028518,10.7029085
98,-0.070562884,-0.19269335,10.362946,10.41601
99,0.06976761,0.1559509,8.927625,7.8494673
100,-0.11850839,-0.19434392,5.629537,8.2897625
101,-0.1073581,-0.09385036,7.099956,8.71364
102,0.015512578,-0.20856225,6.3666577,9.517559
103,-0.013734613,-0.15716863,9.365076,10.927166
104,-0.13288492,-0.068146035,11.934145,13.568899
105,0.007599041,-0.021195056,7.115408,8.582743
106,-0.26731098,0.02194852,6.789465,11.727661
107,-0.05039396,-0.04614272,6.996157,8.844113
108,-0.078496054,0.07224795,5.8015985,8.023665
109,-0.13627535,-0.05033001,5.932527,12.794512
110,-0.19336997,0.087539986,4.871709,12.174038
111,-0.23334607,0.067814335,4.433249,12.481945
112,-0.12392476,0.028561685,4.8396387,12.205941
113,0.057744622,-0.11161871,7.7283683,13.108701
114,-0.08513341,-0.0721985,7.301864,13.760831
115,0.11702147,-0.24301761,8.051904,11.594495
116,-0.22958283,0.08466919,13.079306,11.536106
117,-0.016499171,-0.13491833,7.7665486,13.373091
118,-0.01730531,-0.0662757,7.0399756,8.78221
119,-0.09635751,0.13162526,13.02796,5.785719
120,-0.024854047,-0.15728414,6.829365,13.454604
121,0.0030521378,-0.15773642,7.2031255,8.747369
122,-0.15454012,0.101239085,9.415447,9.187666
123,-0.2503802,0.17414325,9.770237,9.0054455
124,-0.1457094,-0.05299239,8.482019,8.860486
125,0.0056072287,0.30586535,10.081167,6.1321063
126,-0.23346125,0.019725237,6.290673,9.731633
127,-0.04791595,0.20784831,8.745292,6.2760453
128,0.026276998,-0.10528135,10.706667,6.321966
129,-0.23120613,0.090705514,9.089078,7.7702985
130,-0.21287134,0.11365181,6.8608823,8.074663
131,-0.03291176,0.26188737,8.998721,7.6546764
132,-0.04211639,-0.04394436,9.312432,8.39483
133,0.08494608,-0.03584022,7.116932,8.829858
134,-0.21550654,0.040220197,8.949868,14.582986
135,0.033003278,-0.047635283,10.452653,14.09195
136,0.03464698,0.033976294,7.684623,12.72377
137,-0.21230204,0.14079744,9.684062,11.339202
138,0.15980075,0.105625495,11.097006,15.611573
139,-0.22535329,0.14152935,6.78809,12.865529
140,0.086977705,0.09866272,7.5915413,12.478169
141,-0.15743226,0.11493832,12.617351,8.093449
142,0.15488778,0.23352563,7.582328,12.461143
143,0.015249606,0.052426454,7.1920605,8.635623
144,-0.028769609,-0.0099025555,7.376909,12.494133
145,-0.1405455,-0.11726639,7.1680174,8.667051
146,-0.0003832206,-0.057665788,6.886164,6.756334
147,-0.08254336,-0.11926715,8.124008,9.816486
148,0.027562022,0.1399453,10.919211,8.566938
149,-0.08788271,-0.050646484,7.2427616,9.21026
150,0.0022163056,0.011318069,7.3189797,12.734716
151,-0.109600075,-0.055470385,7.2047668,9.140641
152,-0.04302249,0.028998315,7.503453,12.466959
153,0.11796947,-0.008085972,7.557664,8.308963
154,-0.23797233,-0.007193001,8.106326,9.667841
155,-0.07006852,0.0005943347,8.570998,6.1417274
156,0.019920263,-0.0713578,12.978379,11.816294
157,0.11553836,0.059977543,7.578227,8.306557
158,0.083863586,-0.20807724,6.3404303,9.514922
159,0.11095564,-0.054104242,7.5469546,8.343494
160,-0.16726272,-0.037639238,13.00557,11.744719
161,-0.048447758,-0.092311576,10.486641,14.167747
162,-0.19293933,0.05924589,11.079198,9.496797
163,-0.04139639,-0.05966878,8.924213,14.560007
164,0.0004156232,0.1161035,9.320772,8.385321
165,-0.033636764,-0.01588688,6.7636423,7.824783
166,-0.27808255,0.03894664,8.402371,8.700954
167,-0.03983801,0.06626408,6.8549895,6.387714
168,0.025921695,-0.19354025,13.293078,11.928049
169,0.13784382,-0.05809267,11.549858,13.520871
170,-0.09404752,0.0011691842,8.57923,6.085
171,-0.037165307,-0.11256549,6.900873,6.867226
172,-0.13771912,-0.21420589,7.017502,8.929878
173,-0.01713537,-0.106890485,7.465736,12.111008
174,-0.06748614,0.027903639,11.031667,8.545987
175,0.016155124,-0.12571241,8.142115,8.644269
176,-0.077699795,0.14156064,11.1390705,8.558459
177,-0.040686,-0.11937432,7.2163973,14.44179
178,-0.057804488,0.20672849,11.032591,8.524315
179,0.00029297546,-0.054164436,7.045404,9.0470915
180,-0.13516808,0.2516756,11.023506,8.553902
181,0.021443177,-0.16784593,7.2946787,8.640506
182,-0.01828779,0.19453439,10.971343,8.516265
183,0.04298248,0.17746279,10.120853,6.1085653
184,-0.12198314,0.15973796,11.128675,8.539477
185,-0.11410985,0.06779112,10.8618,10.080794
186,-0.07876651,0.21497145,11.022533,8.561533
187,0.01898662,0.016804967,7.2978845,8.628616
188,-0.03928334,0.15011904,10.8205185,8.607524
189,-0.14914839,0.15943074,5.662609,8.30665
190,-0.031998593,0.22523582,11.204424,8.693799
191,-0.06478886,-0.012972603,9.283639,10.530752
192,-0.13760872,0.19498454,11.088138,8.559093
193,-0.026437286,0.046152297,9.859062,13.663324
194,-0.06884047,0.09246798,11.055924,8.561618
195,-0.0977996,-0.021611353,10.854032,10.170783
196,-0.13283455,0.08931424,11.014856,8.5657425
197,-0.039749578,-0.024692973,7.1988606,8.933534
198,-0.12975901,0.12093225,11.074013,8.566635
199,-0.26649868,0.12026213,12.6214695,8.096044
200,-0.22040208,-0.0943311,5.894674,9.376237
201,-0.13515301,0.1619448,11.091483,8.602238
202,-0.27924362,-0.082949564,5.801394,12.455183
203,-0.09952163,0.20655695,11.001481,8.598545
204,0.03522473,-0.164116,7.135502,8.673759
205,-0.3134091,-0.14241746,7.03103,9.01395
206,-0.15003282,0.01019687,6.013563,9.078293
207,-0.0054187365,0.27175695,10.792154,8.310068
208,-0.020401508,0.4166218,10.704044,9.017458
209,0.015225813,0.118109405,10.131772,8.6905
210,-0.09958322,0.11041218,8.11062,9.024328
211,0.049162596,0.24850532,10.025449,8.564017
212,-0.12822005,-0.12465134,7.308419,9.679312
213,-0.08148299,0.061720137,9.005262,8.807888
214,-0.24177025,0.22442016,9.709151,9.078971
215,-0.14104427,0.028906092,6.302279,11.639221
216,-0.13545391,0.0813331,11.482445,10.645062
217,-0.12502019,0.17400476,5.7837563,11.69025
218,-0.17400779,-0.1130476,9.038655,9.650311
219,0.032993726,-0.23088887,9.435427,10.807305
220,-0.15670568,-0.14986607,6.5465198,7.6382008
221,0.053795777,-0.13138473,11.422515,13.421722
222,-0.09570593,-0.054335874,13.29982,11.7266
223,0.02239433,-0.16077593,9.322991,10.765849
224,-0.11474798,-0.11402778,7.474805,12.901039
225,-0.0196044,-0.08139439,8.800492,9.155119
226,-0.19613464,0.08306533,12.435399,12.059613
227,-0.041136783,-0.030968077,9.463546,10.713173
228,-0.20523989,-0.098140225,8.88401,13.268185
229,0.07685986,-0.021354208,8.334046,14.041238
230,-0.049430378,0.038778882,12.967271,12.187921
231,0.087559864,0.11302377,9.570057,8.1734705
232,-0.15296273,-0.025791485,8.034733,12.485065
233,0.16142227,-0.014678013,10.772708,13.711954
234,-0.29976368,0.10647333,6.395252,7.9474435
235,0.052472055,-0.0019764714,11.505533,11.226202
236,-0.14907616,-0.005317945,5.694278,6.9349427
237,0.016829453,-0.23003638,6.4368477,9.314713
238,-0.094699845,-0.18967202,5.621498,10.292343
239,0.034940936,-0.106049076,6.4622416,9.30261
240,-0.054341633,0.026693866,8.383926,7.096749
241,0.050334528,-0.16615167,6.5231104,9.322807
242,-0.011404242,0.036251206,8.057652,12.507154
243,0.056184538,0.17632273,9.625172,8.364821
244,0.112007126,-0.06963657,7.132367,8.174015
245,-0.14051814,0.03160098,9.255352,8.33353
246,-0.28469,0.2225994,9.669857,9.092345
247,-0.028661093,0.016420003,8.4142885,7.082763
248,-0.2214706,0.0797009,6.7823195,7.322453
249,-0.120189935,-0.15586868,8.303739,9.898846
250,-0.058875635,0.12523574,6.6129165,7.5417295
251,-0.18170376,0.004857948,5.7600875,11.27894
