sample_id,cluster
0,3
1,3
2,1
3,3
4,1
5,1
6,3
7,0
8,3
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,3
17,0
18,1
19,1
20,3
21,0
22,3
23,0
24,1
25,3
26,1
27,1
28,3
29,1
30,1
31,1
32,1
33,3
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,3
42,3
43,3
44,3
45,3
46,1
47,3
48,0
49,3
50,0
51,0
52,1
53,3
54,1
55,1
56,3
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,1
81,3
82,1
83,3
84,1
85,3
86,1
87,3
88,1
89,3
90,1
91,3
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,3
102,3
103,3
104,1
105,3
106,1
107,3
108,1
109,1
110,1
111,1
112,1
113,3
114,1
115,3
116,1
117,3
118,3
119,1
120,3
121,3
122,1
123,1
124,1
125,0
126,1
127,0
128,1
129,1
130,1
131,0
132,0
133,3
134,1
135,3
136,0
137,1
138,0
139,1
140,0
141,1
142,0
143,0
144,3
145,1
146,3
147,1
148,0
149,1
150,0
151,1
152,0
153,3
154,1
155,1
156,1
157,0
158,3
159,3
160,1
161,1
162,1
163,3
164,0
165,1
166,1
167,0
168,3
169,3
170,1
171,3
172,1
173,3
174,1
175,3
176,1
177,3
178,0
179,3
180,1
181,3
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,1
190,0
191,1
192,1
193,3
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,3
205,1
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,3
220,1
221,3
222,1
223,3
224,1
225,1
226,1
227,1
228,1
229,3
230,1
231,0
232,1
233,3
234,1
235,3
236,1
237,3
238,3
239,1
240,1
241,3
242,1
243,0
244,3
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,3
253,1
254,1
255,0
256,1
257,1
258,1
259,0
260,0
261,0
262,1
263,0
264,1
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,3
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,3
281,3
282,0
283,1
284,1
285,1
286,0
287,3
288,1
289,1
290,1
291,1
292,0
293,0
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,3
310,1
311,0
312,1
313,3
314,1
315,3
316,1
317,1
318,0
319,3
320,0
321,0
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,3
332,1
333,1
334,1
335,3
336,1
337,3
338,0
339,3
340,1
341,1
342,1
343,1
344,1
345,1
346,3
347,1
348,0
349,1
350,1
351,1
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,1
373,1
374,0
375,1
376,0
377,1
378,0
379,1
380,1
381,0
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,1
390,0
391,1
392,0
393,1
394,0
395,1
396,0
397,1
398,0
399,0
400,0
401,1
402,0
403,1
404,0
405,3
406,0
407,1
408,0
409,1
410,0
411,1
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,0
427,1
428,3
429,0
430,0
431,0
432,1
433,3
434,1
435,0
436,1
437,0
438,1
439,0
440,0
441,0
442,1
443,0
444,1
445,0
446,1
447,3
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,1
459,0
460,0
461,1
462,0
463,0
464,0
465,1
466,1
467,0
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,1
476,0
477,1
478,0
479,0
480,0
481,1
482,0
483,1
484,0
485,1
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,1
503,1
504,1
505,0
506,1
507,0
508,1
509,0
510,1
511,1
512,1
513,1
514,1
515,0
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,1
528,0
529,3
530,1
531,1
532,0
533,1
534,0
535,1
536,0
537,0
538,0
539,0
540,0
541,1
542,1
543,1
544,0
545,1
546,1
547,1
548,1
549,1
550,0
551,1
552,0
553,1
554,1
555,1
556,0
557,0
558,1
559,1
560,3
561,0
562,3
563,0
564,1
565,0
566,1
567,0
568,0
569,1
570,3
571,1
572,3
573,0
574,1
575,0
576,3
577,1
578,3
579,1
580,1
581,0
582,3
583,1
584,3
585,1
586,3
587,1
588,3
589,0
590,3
591,0
592,3
593,1
594,3
595,1
596,3
597,0
598,0
599,3
600,3
601,3
602,1
603,3
604,3
605,3
606,0
607,1
608,3
609,3
610,1
611,3
612,1
613,3
614,1
615,3
616,0
617,3
618,3
619,1
620,1
621,3
622,1
623,1
624,1
625,3
626,1
627,3
628,1
629,1
630,0
631,3
632,1
633,3
634,1
635,3
636,0
637,3
638,0
639,3
640,0
641,1
642,0
643,1
644,0
645,1
646,0
647,3
648,0
649,1
650,0
651,1
652,3
653,1
654,1
655,0
656,3
657,0
658,1
659,3
660,3
661,0
662,3
663,0
664,0
665,3
666,0
667,1
668,0
669,3
670,0
671,3
672,1
673,1
674,0
675,1
676,0
677,3
678,0
679,3
680,0
681,1
682,0
683,3
684,0
685,3
686,1
687,3
688,0
689,3
690,0
691,1
692,1
693,3
694,1
695,3
696,1
697,1
698,0
699,1
700,0
701,1
702,1
703,3
704,0
705,3
706,0
707,1
708,1
709,0
710,3
711,1
712,3
713,0
714,3
715,0
716,3
717,0
718,0
719,0
720,3
721,0
722,0
723,0
724,1
725,0
726,3
727,0
728,1
729,0
730,1
731,0
732,1
733,0
734,3
735,1
736,1
737,0
738,1
739,1
740,0
741,0
742,1
743,0
744,1
745,0
746,3
747,0
748,3
749,1
750,1
751,1
752,3
753,1
754,3
755,1
756,1
757,0
758,3
759,0
760,3
761,0
762,3
763,1
764,3
765,0
766,1
767,0
768,3
769,0
770,1
771,0
772,3
773,0
774,3
775,0
776,3
777,0
778,0
779,1
780,3
781,0
782,3
783,0
784,3
785,0
786,1
787,1
788,3
789,0
790,1
791,1
792,1
793,1
794,3
795,1
796,0
797,1
798,1
799,1
800,1
801,0
802,3
803,3
804,0
805,3
806,0
807,3
808,0
809,3
810,1
811,1
812,3
813,1
814,3
815,1
816,3
817,1
818,1
819,0
820,0
821,1
822,3
823,1
824,3
825,1
826,3
827,1
828,3
829,1
830,3
831,1
832,1
833,1
834,3
835,0
836,3
837,0
838,3
839,0
840,3
841,0
842,3
843,0
844,3
845,0
846,1
847,0
848,3
849,3
850,3
851,0
852,3
853,1
854,3
855,0
856,3
857,0
858,3
859,0
860,3
861,0
862,0
863,1
864,1
865,0
866,0
867,1
868,0
869,1
870,0
871,0
872,0
873,0
874,3
875,0
876,0
877,0
878,0
879,0
880,1
