id,phrase,level,main_category,sub_category
1,after-sales service,C2,Business_Finance_Economy,Business_Management
2,ancient monument,C2,Education,Academic_Study
3,arrive at a total of,C2,Business_Finance_Economy,Economy_Markets
4,birth rate,B2,Business_Finance_Economy,Economy_Markets
5,become famous,C2,Psychology_Emotions,Motivation
6,come to a total of,C2,Business_Finance_Economy,Economy_Markets
7,big meal,B1,Health_Medicine,Nutrition_Diet
8,considerable amount,C2,Business_Finance_Economy,Economy_Markets
9,bitterly cold,C2,Psychology_Emotions,Feelings_Emotions
10,considerable number,C2,Business_Finance_Economy,Economy_Markets
11,bitterly disappointed,C2,Psychology_Emotions,Feelings_Emotions
12,constant interruptions,C2,Communication_Media_Arts,Speaking_Expressions
13,continual complaining,C2,Communication_Media_Arts,Speaking_Expressions
14,cause crime,C1,Society_Law_Politics,Law_Crime
15,decline in the number of,C2,Business_Finance_Economy,Economy_Markets
16,dramatic fall,C2,Business_Finance_Economy,Economy_Markets
17,fast food,B2,Health_Medicine,Nutrition_Diet
18,dramatic rise,C2,Business_Finance_Economy,Economy_Markets
19,get a job,B2,Business_Finance_Economy,Jobs_Careers
20,drop in the number of,C2,Business_Finance_Economy,Economy_Markets
21,heavy cold,B2,Health_Medicine,Healthcare_Hospital
22,enormous amount,C2,Business_Finance_Economy,Economy_Markets
23,heavy snow,B2,Science_Nature,Natural_Phenomena
24,enormous number,C2,Business_Finance_Economy,Economy_Markets
25,keep to the rules,C2,Society_Law_Politics,Law_Crime
26,even number,C1,Business_Finance_Economy,Economy_Markets
27,leave university,C2,Education,University_School
28,fall sharply,C1,Business_Finance_Economy,Economy_Markets
29,live music,B2,Communication_Media_Arts,Arts_Creativity
30,fall steeply,C1,Business_Finance_Economy,Economy_Markets
31,make a decision,C2,Daily_Life,General_Interactions
32,increase gradually,C2,Business_Finance_Economy,Economy_Markets
33,make a mistake,C2,Daily_Life,General_Interactions
34,increase in the number of,C2,Business_Finance_Economy,Economy_Markets
35,make an effort,C2,Daily_Life,General_Interactions
36,increase steadily,C2,Business_Finance_Economy,Economy_Markets
37,make a recording,C2,Technology_Digital,Software_Internet
38,keep asking,C1,Daily_Life,Routine_Activities
39,keep hitting,C1,Daily_Life,Routine_Activities
40,play the guitar,C2,Communication_Media_Arts,Arts_Creativity
41,keep interrupting,C2,Daily_Life,Routine_Activities
42,powerful engine,C2,Technology_Digital,Devices_Hardware
43,minute amount,C2,Business_Finance_Economy,Economy_Markets
44,minute number,C2,Business_Finance_Economy,Economy_Markets
45,quick meal,B2,Health_Medicine,Nutrition_Diet
46,odd number,B2,Business_Finance_Economy,Economy_Markets
47,stick to the rules,C2,Society_Law_Politics,Law_Crime
48,rare bird,B2,Daily_Life,General_Interactions
49,strictly forbidden,C2,Society_Law_Politics,Law_Crime
50,rare coin,B2,Daily_Life,General_Interactions
51,substantial meal,C2,Health_Medicine,Nutrition_Diet
52,rare disease,C1,Health_Medicine,Illness_Diseases
53,take a photo,C1,Daily_Life,General_Interactions
54,rare species,C1,Science_Nature,Biology_Life_Sciences
55,take up a profession,C2,Business_Finance_Economy,Jobs_Careers
56,rate falls,B2,Business_Finance_Economy,Economy_Markets
57,valid passport,C2,Education,Exams_Assessments
58,rate rises,B2,Business_Finance_Economy,Economy_Markets
59,watch tv,B1,Communication_Media_Arts,Speaking_Expressions
60,remain constant,C2,Technology_Digital,Artificial_Intelligence
61,write a song,C1,Communication_Media_Arts,Writing_Language
62,remain stable,C2,Technology_Digital,Artificial_Intelligence
63,desperately jealous,C2,Business_Finance_Economy,Economy_Markets
64,rise in the number of,C2,Business_Finance_Economy,Economy_Markets
65,desperately worried,C2,Business_Finance_Economy,Economy_Markets
66,rise sharply,C1,Business_Finance_Economy,Economy_Markets
67,do a course,C1,Education,University_School
68,rise steeply,C1,Business_Finance_Economy,Economy_Markets
69,do some shopping,C2,Daily_Life,Shopping_Everyday
70,significant amount,C2,Business_Finance_Economy,Economy_Markets
71,do some work,C1,Business_Finance_Economy,Jobs_Careers
72,significant number,C2,Business_Finance_Economy,Economy_Markets
73,do your duty,C1,Daily_Life,General_Interactions
74,substantial amount,C2,Business_Finance_Economy,Economy_Markets
75,ease the pain,C2,Health_Medicine,Illness_Diseases
76,substantial number,C2,Business_Finance_Economy,Economy_Markets
77,enrol on a course,C2,Education,University_School
78,surprising amount,C2,Business_Finance_Economy,Economy_Markets
79,extremely easy,C2,Daily_Life,General_Interactions
80,surprising number,C2,Business_Finance_Economy,Economy_Markets
81,find a way,B2,Daily_Life,General_Interactions
82,tiny amount,C1,Business_Finance_Economy,Economy_Markets
83,find your way,C2,Travel_Transportation,Navigation_Directions
84,tiny number,C1,Business_Finance_Economy,Economy_Markets
85,get divorced,C1,Daily_Life,General_Interactions
86,unit of currency,C2,Business_Finance_Economy,Finance_Banking
87,get in someone's way,C2,Daily_Life,General_Interactions
88,unit of electricity,C2,Daily_Life,General_Interactions
89,give a lecture,C2,Education,University_School
90,unit of length,C2,Daily_Life,General_Interactions
91,give someone a call,C2,Communication_Media_Arts,Speaking_Expressions
92,unit of measurement,C2,Science_Nature,Research_Methods
93,give someone a lift,C2,Daily_Life,General_Interactions
94,widespread damage,C2,Communication_Media_Arts,Speaking_Expressions
95,give someone a ring,C2,Communication_Media_Arts,Speaking_Expressions
96,widespread interest,C2,Communication_Media_Arts,Speaking_Expressions
97,give way to,C1,Daily_Life,General_Interactions
98,widespread poverty,C2,Society_Law_Politics,Social_Issues
99,have access to,C2,Daily_Life,General_Interactions
100,widespread support,C2,Communication_Media_Arts,Speaking_Expressions
