sample_id,cluster
0,0
1,7
2,0
3,0
4,5
5,5
6,8
7,6
8,7
9,6
10,6
11,2
12,2
13,0
14,0
15,2
16,8
17,0
18,5
19,1
20,8
21,6
22,8
23,6
24,5
25,6
26,5
27,5
28,7
29,5
30,5
31,0
32,5
33,0
34,5
35,0
36,4
37,5
38,5
39,5
40,5
41,8
42,0
43,1
44,8
45,1
46,5
47,8
48,2
49,0
50,0
51,8
52,5
53,8
54,4
55,0
56,1
57,0
58,5
59,5
60,5
61,5
62,6
63,0
64,6
65,0
66,4
67,5
68,5
69,0
70,5
71,0
72,5
73,0
74,5
75,6
76,4
77,6
78,6
79,6
80,5
81,0
82,5
83,1
84,5
85,0
86,5
87,0
88,4
89,4
90,5
91,4
92,5
93,2
94,5
95,0
96,5
97,0
98,1
99,6
100,1
101,7
102,1
103,0
104,5
105,0
106,5
107,8
108,4
109,5
110,5
111,5
112,5
113,8
114,7
115,8
116,5
117,7
118,8
119,5
120,7
121,4
122,5
123,5
124,5
125,2
126,5
127,6
128,4
129,5
130,5
131,2
132,6
133,4
134,5
135,7
136,8
137,5
138,8
139,5
140,6
141,2
142,6
143,6
144,8
145,5
146,0
147,0
148,8
149,1
150,8
151,1
152,8
153,6
154,5
155,6
156,4
157,6
158,1
159,6
160,5
161,5
162,5
163,8
164,6
165,0
166,5
167,0
168,4
169,0
170,6
171,0
172,1
173,4
174,8
175,4
176,2
177,7
178,2
179,8
180,2
181,7
182,2
183,4
184,5
185,5
186,2
187,1
188,2
189,5
190,2
191,5
192,2
193,8
194,2
195,1
196,5
197,1
198,5
199,5
200,5
201,5
202,5
203,2
204,8
205,5
206,5
207,2
208,2
209,6
210,4
211,6
212,1
213,0
214,5
215,5
216,5
217,5
218,0
219,0
220,7
221,0
222,4
223,0
224,5
225,0
226,5
227,0
228,5
229,8
230,4
231,6
232,5
233,8
234,5
235,8
236,5
237,1
238,1
239,0
240,6
241,0
242,8
243,2
244,4
245,5
246,5
247,4
248,5
249,0
250,6
251,5
252,4
253,8
254,5
255,2
256,0
257,5
258,0
259,2
260,2
261,2
262,0
263,6
264,0
265,5
266,0
267,6
268,5
269,0
270,7
271,0
272,0
273,7
274,6
275,5
276,7
277,2
278,0
279,5
280,7
281,4
282,2
283,4
284,5
285,5
286,2
287,8
288,5
289,2
290,5
291,4
292,2
293,6
294,5
295,0
296,5
297,7
298,5
299,5
300,1
301,5
302,6
303,6
304,5
305,0
306,4
307,4
308,5
309,0
310,4
311,2
312,4
313,7
314,5
315,8
316,5
317,5
318,2
319,4
320,6
321,6
322,4
323,6
324,4
325,6
326,5
327,2
328,5
329,2
330,5
331,0
332,5
333,0
334,5
335,1
336,5
337,0
338,8
339,0
340,5
341,0
342,5
343,0
344,5
345,5
346,2
347,5
348,6
349,5
350,6
351,7
352,6
353,5
354,6
355,5
356,6
357,5
358,6
359,5
360,6
361,5
362,6
363,5
364,6
365,5
366,6
367,7
368,6
369,5
370,6
371,5
372,5
373,5
374,6
375,5
376,2
377,5
378,2
379,5
380,5
381,2
382,5
383,2
384,5
385,6
386,5
387,6
388,6
389,5
390,6
391,5
392,6
393,7
394,6
395,5
396,6
397,5
398,6
399,2
400,6
401,4
402,2
403,5
404,6
405,8
406,6
407,5
408,6
409,5
410,6
411,5
412,0
413,1
414,6
415,5
416,6
417,1
418,6
419,1
420,6
421,1
422,6
423,5
424,6
425,5
426,6
427,5
428,8
429,6
430,6
431,0
432,0
433,1
434,5
435,6
436,5
437,6
438,2
439,6
440,6
441,6
442,5
443,6
444,5
445,6
446,4
447,0
448,2
449,6
450,2
451,6
452,2
453,6
454,4
455,6
456,6
457,6
458,5
459,6
460,6
461,5
462,6
463,2
464,6
465,0
466,5
467,6
468,5
469,4
470,6
471,4
472,6
473,6
474,6
475,4
476,6
477,4
478,6
479,6
480,6
481,5
482,6
483,0
484,6
485,0
486,6
487,5
488,6
489,6
490,6
491,5
492,6
493,5
494,6
495,4
496,6
497,6
498,6
499,0
500,2
501,0
502,5
503,5
504,4
505,2
506,5
507,2
508,5
509,2
510,2
511,0
512,5
513,0
514,5
515,0
516,5
517,5
518,4
519,5
520,5
521,5
522,2
523,5
524,2
525,5
526,2
527,5
528,2
529,4
530,2
531,5
532,2
533,5
534,2
535,5
536,2
537,2
538,2
539,2
540,4
541,5
542,4
543,4
544,4
545,5
546,0
547,4
548,4
549,5
550,2
551,5
552,2
553,5
554,5
555,4
556,6
557,2
558,8
559,0
560,8
561,4
562,8
563,2
564,5
565,2
566,5
567,0
568,2
569,5
570,8
571,0
572,8
573,2
574,2
575,0
576,7
577,4
578,7
579,4
580,5
581,2
582,8
583,0
584,7
585,4
586,7
587,2
588,8
589,2
590,7
591,8
592,8
593,5
594,8
595,5
596,8
597,6
598,6
599,8
600,7
601,8
602,5
603,8
604,4
605,8
606,6
607,5
608,8
609,8
610,5
611,8
612,5
613,8
614,5
615,8
616,6
617,7
618,8
619,7
620,5
621,8
622,4
623,5
624,5
625,8
626,5
627,8
628,8
629,5
630,2
631,8
632,5
633,8
634,5
635,8
636,6
637,7
638,2
639,8
640,6
641,2
642,2
643,5
644,8
645,7
646,8
647,7
648,8
649,5
650,8
651,5
652,4
653,5
654,5
655,6
656,7
657,2
658,7
659,6
660,7
661,6
662,0
663,6
664,6
665,0
666,6
667,7
668,6
669,7
670,2
671,7
672,5
673,1
674,2
675,7
676,2
677,7
678,2
679,7
680,4
