sample_id,cluster
0,2
1,2
2,2
3,2
4,0
5,1
6,2
7,0
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,2
17,0
18,1
19,1
20,2
21,0
22,2
23,0
24,1
25,2
26,1
27,1
28,2
29,1
30,1
31,1
32,1
33,2
34,1
35,2
36,2
37,0
38,1
39,1
40,1
41,2
42,2
43,2
44,2
45,2
46,1
47,2
48,0
49,2
50,0
51,0
52,1
53,2
54,1
55,1
56,2
57,2
58,1
59,0
60,1
61,0
62,0
63,2
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,2
77,0
78,0
79,0
80,1
81,2
82,1
83,2
84,1
85,2
86,1
87,2
88,0
89,2
90,1
91,2
92,1
93,0
94,1
95,0
96,1
97,0
98,2
99,0
100,1
101,2
102,2
103,2
104,1
105,2
106,1
107,2
108,0
109,1
110,1
111,1
112,1
113,2
114,1
115,2
116,1
117,2
118,2
119,0
120,2
121,2
122,1
123,1
124,1
125,0
126,1
127,0
128,2
129,1
130,1
131,0
132,0
133,2
134,1
135,2
136,0
137,1
138,0
139,1
140,0
141,1
142,0
143,0
144,2
145,1
146,2
147,2
148,0
149,0
150,2
151,1
152,0
153,2
154,1
155,1
156,2
157,0
158,2
159,2
160,1
161,2
162,1
163,2
164,0
165,0
166,1
167,0
168,2
169,2
170,1
171,2
172,1
173,2
174,2
175,2
176,0
177,2
178,0
179,2
180,0
181,2
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,2
192,0
193,2
194,0
195,1
196,1
197,2
198,1
199,1
200,1
201,1
202,1
203,0
204,2
205,1
206,1
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,1
215,1
216,1
217,0
218,1
219,2
220,1
221,2
222,1
223,2
224,1
225,2
226,1
227,2
228,1
229,2
230,0
231,0
232,1
233,2
234,1
235,2
236,1
237,2
238,2
239,2
240,0
241,2
242,0
243,0
244,2
245,1
246,1
247,0
248,1
249,2
250,0
251,1
252,0
253,0
254,1
255,0
256,2
257,0
258,2
259,0
260,0
261,0
262,1
263,0
264,1
265,1
266,1
267,0
268,1
269,0
270,2
271,0
272,2
273,2
274,0
275,1
276,2
277,0
278,1
279,1
280,2
281,2
282,0
283,0
284,1
285,1
286,0
287,2
288,0
289,1
290,1
291,0
292,0
293,2
294,1
295,1
296,1
297,2
298,1
299,1
300,1
301,1
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,2
310,0
311,0
312,0
313,2
314,0
315,2
316,1
317,1
318,0
319,2
320,2
321,0
322,0
323,0
324,2
325,0
326,1
327,0
328,1
329,0
330,1
331,2
332,1
333,1
334,1
335,2
336,1
337,2
338,0
339,2
340,1
341,1
342,1
343,1
344,1
345,1
346,2
347,1
348,0
349,1
350,1
351,1
352,0
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,0
361,1
362,0
363,1
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,1
373,1
374,0
375,1
376,0
377,1
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,1
390,0
391,1
392,0
393,2
394,0
395,1
396,0
397,1
398,0
399,0
400,0
401,2
402,0
403,1
404,0
405,2
406,0
407,1
408,0
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,0
417,1
418,0
419,1
420,0
421,2
422,0
423,1
424,0
425,1
426,0
427,1
428,2
429,0
430,0
431,2
432,1
433,2
434,1
435,0
436,1
437,0
438,0
439,0
440,0
441,2
442,1
443,0
444,1
445,0
446,0
447,2
448,0
449,0
450,0
451,2
452,0
453,0
454,0
455,2
456,0
457,0
458,1
459,0
460,0
461,1
462,0
463,0
464,0
465,1
466,1
467,0
468,1
469,0
470,0
471,0
472,0
473,0
474,2
475,0
476,0
477,0
478,0
479,0
480,0
481,1
482,0
483,0
484,0
485,2
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,2
503,0
504,0
505,0
506,1
507,0
508,1
509,0
510,0
511,0
512,1
513,0
514,1
515,0
516,0
517,1
518,0
519,1
520,0
521,1
522,0
523,1
524,0
525,1
526,0
527,1
528,0
529,0
530,0
531,1
532,0
533,1
534,0
535,1
536,0
537,0
538,0
539,0
540,0
541,1
542,0
543,0
544,0
545,1
